Driver,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,qual_pos,best_qual_t,delta_to_pole_s,grid_pos,grid_drop,pitstops,avg_stint_len,median_stint_len,stint_count,mean_race_pace_s,stints_hard,stints_medium,stints_soft
VER,97.793083333,12,98.5175,99.7538125,16,97.2295,119.725166666,6,125.3715,105.75735416633334,107.03950000000002,34,1.0,0 days 00:01:29.708000,0.0,1.0,0.0,2,16.666666666666668,18.0,3,97.54933333333334,1,0,2
PER,97.844583333,12,98.647,97.000411764,17,97.785,102.1655,4,94.5725,99.00349836566666,97.00150000000001,33,2.0,0 days 00:01:29.846000,0.138,2.0,0.0,2,16.666666666666668,15.0,3,97.74366666666667,1,0,2
LEC,99.683833333,6,97.0145,96.7718,15,97.861,99.8823,10,99.273,98.77931111099998,98.04950000000001,31,3.0,0 days 00:01:30,0.292,3.0,0.0,2,11.333333333333334,11.0,3,98.10433333333333,2,0,1
SAI,104.7275,12,100.326,99.022388888,18,98.34,108.389727272,11,99.178,104.04653872,99.28133333333334,41,4.0,0 days 00:01:30.154000,0.446,4.0,0.0,2,17.0,16.0,3,98.50366666666666,2,0,1
ALO,112.108071428,14,95.879,103.729277777,18,97.3835,112.239,6,102.6665,109.35878306833335,98.64299999999999,38,5.0,0 days 00:01:30.336000,0.628,5.0,0.0,2,17.0,18.0,3,98.3455,2,0,1
RUS,105.735214285,14,97.724,105.070705882,17,98.306,95.965714285,7,96.373,102.257211484,97.46766666666667,38,6.0,0 days 00:01:30.340000,0.632,6.0,0.0,2,16.666666666666668,16.0,3,98.72483333333332,2,0,1
HAM,99.092,5,95.164,100.736,17,98.4,94.593142857,7,93.508,98.14038095233333,95.69066666666667,29,7.0,0 days 00:01:30.384000,0.676,7.0,0.0,2,17.0,16.0,3,98.65249999999999,2,0,1
STR,111.775666666,9,103.48,105.031473684,19,98.575,115.331111111,9,118.265,110.712750487,106.77333333333333,37,8.0,0 days 00:01:30.836000,1.128,8.0,0.0,2,16.666666666666668,13.0,3,98.63716666666666,2,0,1
OCO,114.197714285,14,101.983,106.813157894,19,98.478,113.032818181,11,96.585,111.34789678666665,99.01533333333333,44,9.0,0 days 00:01:30.914000,1.206,9.0,0.0,3,8.0,8.0,4,98.95224999999999,3,0,1
HUL,99.492705882,17,98.579,101.417588235,17,98.932,104.0035,14,100.4945,101.63793137233331,99.33516666666667,48,10.0,0 days 00:01:30.809000,1.101,10.0,0.0,3,12.25,12.5,4,98.959,2,0,2
NOR,106.563,13,99.804,102.204333333,18,98.159,109.971,7,95.986,106.246111111,97.983,38,11.0,0 days 00:01:31.381000,1.673,11.0,0.0,5,6.833333333333333,7.5,6,98.26333333333332,2,1,3
BOT,103.471444444,9,98.325,102.306588235,17,98.733,105.9956,5,94.356,103.92454422633334,97.13799999999999,31,12.0,0 days 00:01:31.443000,1.735,12.0,0.0,2,16.666666666666668,16.0,3,99.14583333333333,2,0,1
ZHO,104.732125,8,98.865,101.9232,15,99.592,102.2305,4,94.1525,102.96194166666668,97.5365,27,13.0,0 days 00:01:31.473000,1.765,13.0,0.0,3,11.75,14.0,4,98.19825,1,0,3
TSU,118.917615384,13,134.959,108.49595238,21,98.926,115.9561,10,109.5805,114.45655592133333,114.4885,44,14.0,0 days 00:01:31.400000,1.692,14.0,0.0,3,12.5,13.0,4,98.949125,2,0,2
ALB,108.091714285,7,97.024,101.7041,20,98.058,111.536,7,94.485,107.11060476166666,96.52233333333334,34,15.0,0 days 00:01:31.461000,1.753,15.0,0.0,3,12.5,12.5,4,98.919625,1,0,3
SAR,107.041882352,17,100.091,102.914380952,21,98.9305,101.383,5,95.005,103.77975443466666,98.00883333333333,43,16.0,0 days 00:01:31.652000,1.944,16.0,0.0,3,12.25,12.5,4,98.934625,1,0,3
MAG,100.0808,15,98.528,109.775090909,11,100.407,110.4048,15,100.994,106.75356363633334,99.97633333333333,41,17.0,0 days 00:01:31.892000,2.184,17.0,0.0,3,12.25,12.5,4,99.01725,2,0,2
PIA,109.82125,16,100.744,104.932904761,21,99.019,115.484166666,6,109.7945,110.07944047566666,103.18583333333333,43,18.0,0 days 00:01:32.101000,2.393,18.0,0.0,0,11.0,11.0,1,101.156,0,0,1
DEV,112.6683125,16,101.3695,106.006947368,19,98.7985,112.38090909,11,123.225,110.35205631933333,107.79766666666667,46,19.0,0 days 00:01:32.121000,2.413,19.0,0.0,2,16.333333333333332,14.0,3,99.73583333333333,2,0,1
GAS,113.915533333,15,96.421,106.414611111,18,98.126,116.431,8,120.2675,112.25371481466665,104.93816666666667,41,20.0,0 days 00:01:32.181000,2.473,20.0,0.0,3,12.5,13.5,4,98.63300000000001,2,0,2
